Treatment,NTU
Treatment A,8.69854022632353
Treatment A,13.717637336812913
Treatment A,2.3739054962061346
Treatment A,2.3200705857016146
Treatment A,10.390549980802462
Treatment A,4.532778952270746
Treatment A,16.181591768283397
Treatment A,20.894375652074814
Treatment A,17.86834350740537
Treatment A,17.092854322865605
Treatment A,21.477452743798494
Treatment A,20.412569742649794
Treatment A,21.864851467311382
Treatment A,18.2719908435829
Treatment A,17.113762695342302
Treatment A,20.26462921872735
Treatment A,21.15238158684224
Treatment A,21.843922207131982
Treatment A,21.3537301546894
Treatment A,21.728000929113477
Treatment A,25.406361083267257
Treatment A,26.52280983584933
Treatment A,26.446386337513104
Treatment A,27.811524148564786
Treatment A,28.065766456071287
Treatment A,28.08902233466506
Treatment A,25.952940420247614
Treatment A,29.424208545824513
Treatment A,23.366193685680628
Treatment A,27.569879808463156
Treatment A,25.617317352676764
Treatment A,27.079694931628183
Treatment A,28.37878448376432
Treatment A,24.92348921345547
Treatment A,27.052980053704232
Treatment A,28.444425742141902
Treatment A,26.135993603616953
Treatment A,129.1819799412042
Treatment A,160.92840467579663
Treatment A,108.01287436159328
Treatment A,172.64532818924636
Treatment A,34.39176707295701
Treatment A,101.25707119703293
Treatment A,30.266741949599236
Treatment A,148.6890194308944
Treatment A,107.89280464639887
Treatment B,10.44092869386077
Treatment B,1.2934834754560143
Treatment B,5.1768561895005405
Treatment B,11.744820093736053
Treatment B,1.2667660473380238
Treatment B,6.180851584067568
Treatment B,0.05021249642595649
Treatment B,9.770460192812607
Treatment B,9.970732721267268
Treatment B,6.168378589209169
Treatment B,0.038535489002242684
Treatment B,6.116135667543858
Treatment B,9.07095669186674
Treatment B,9.60514276404865
Treatment B,1.8154135812073946
Treatment B,4.873799260240048
Treatment B,6.196480781072751
Treatment B,4.94147724006325
Treatment B,14.248618361307308
Treatment B,8.779547171434388
Treatment B,7.8206642309669405
Treatment B,1.792591370176524
Treatment B,6.850428655743599
Treatment B,1.5448151528835297
Treatment B,5.619504125788808
Treatment B,12.674310993170366
Treatment B,3.9080938836559653
Treatment B,2.4026440421584994
Treatment B,10.446678808657452
Treatment B,11.858010337455198
Treatment B,19.115831098519266
Treatment B,18.950225783511996
Treatment B,17.305662658065557
Treatment B,21.221524733118713
Treatment B,21.300328223966062
Treatment B,19.585538608022034
Treatment B,20.537951150909066
Treatment B,19.533310724887997
Treatment B,17.384007562417537
Treatment B,18.496207727119327
Treatment B,20.395321363117546
Treatment B,20.66420174576342
Treatment B,17.710599288810045
Treatment B,19.3853209419176
Treatment B,18.743005582131445
Treatment B,19.304867297410965
Treatment B,18.32656854018569
Treatment B,19.510133960749954
Treatment B,21.465976796578616
Treatment B,16.591114156413823
Treatment B,16.204521408770233
Treatment B,19.506290764547884
Treatment B,17.967378925997764
Treatment B,16.499593605753034
Treatment B,16.7582745840773
Treatment B,19.084680888336152
Treatment B,20.74120126804337
Treatment B,17.62922718608752
Treatment B,21.28175161872059
Treatment B,17.257247604895383
Treatment B,16.631911790464073
Treatment B,19.05044152215123
Treatment B,24.577538966434076
Treatment B,24.819006417877972
Treatment B,23.575705339666456
Treatment B,27.323439339874312
Treatment B,23.33765622205101
Treatment B,26.65090654604137
Treatment B,25.928772766375914
Treatment B,29.959295025793836
Treatment B,24.404081570217386
Treatment B,27.7231434606947
Treatment B,29.192168694455177
Treatment B,25.240313278511167
Treatment B,29.323159374995157
Treatment B,29.055580189451575
Treatment B,25.06555013358593
Treatment B,26.173936563776806
Treatment B,26.70358668663539
Treatment B,38.76596106681973
Treatment B,56.57862666528672
Treatment B,100.2675462467596
